,Time,Flow_x,Flow_y
76,1998-02-23 15:00:00,9.092785786946819e-05,1.27331735613014e-05
77,1998-02-23 16:00:00,0.00011907985407978055,1.3350539547547e-05
78,1998-02-23 17:00:00,0.00017021899889698412,2.43859565879536e-05
79,1998-02-23 18:00:00,0.00025211778285268274,1.75949307392529e-05
80,1998-02-23 19:00:00,0.00023884632736719387,1.70547355012881e-05
81,1998-02-23 20:00:00,0.00016363040171280842,1.73634184938351e-05
82,1998-02-23 21:00:00,0.00011071794071690143,1.75177599903965e-05
83,1998-02-23 22:00:00,8.749855865794036e-05,1.86753212146069e-05
84,1998-02-23 23:00:00,8.718884395234974e-05,2.08361022263372e-05
85,1998-02-24 00:00:00,8.703292710325882e-05,2.55435178714593e-05
86,1998-02-24 01:00:00,8.687728908061131e-05,3.68876178687207e-05
